,Ticker,Description,Price,Change %,Change,Volume,Volume*Price,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
2171,SFNC,Simmons First National Corporation,17.5201,1.68369124,0.2901,70790,1240247.879,2227749253.875241,0.29077233,-0.05704507,-0.51107325,NASDAQ,,17.0,0.5201
2172,IBTX,"Independent Bank Group, Inc",43.94,-0.24971623,-0.11,26042,1144285.48,1808986054.444949,0.29058067,0.27384756,-0.19307212,NASDAQ,,43.39,0.55
2173,PAYO,Payoneer Global Inc.,6.115,-0.89141005,-0.055,209430,1280664.45,2166925146.3614264,0.28899602,-0.08176615,-0.40749796,NASDAQ,-0.06,6.12,-0.005
2174,HTGC,"Hercules Capital, Inc.",12.05,-1.06732348,-0.13,253372,3053132.6,1644588402.504105,0.28583845,-0.04147657,-0.33085194,NYSE,-0.28,12.04,0.01
2175,STNE,StoneCo Ltd.,8.865,0.39637599,0.035,625458,5544685.17,2659093275.205549,0.28512112,0.0,-0.28121485,NASDAQ,-0.13,8.75,0.115
2176,DLO,DLocal Limited,15.29,-0.19582245,-0.03,76429,1168599.41,4528359980.629895,0.28455112,-0.19582245,-0.19582245,NASDAQ,,15.19,0.1
2177,STR,Sitio Royalties Corp.,20.74,-1.79924242,-0.38,63392,1314750.08,3204724574.571969,0.28419962,-0.09633911,-0.3124249,NYSE,,20.87,-0.13
2178,ALNY,"Alnylam Pharmaceuticals, Inc.",187.94,-1.33865295,-2.55,42781,8040261.14,23329177325.19177,0.28225951,0.01596509,-0.14080391,NASDAQ,,190.25,-2.31
2179,RLI,RLI Corp.,128.14,-0.36544592,-0.47,10403,1333040.42,5832188420.283025,0.28217706,0.14849551,-0.33444816,NYSE,,127.48,0.66
2180,CINF,Cincinnati Financial Corporation,104.895,-1.02377807,-1.085,46098,4835449.71,16493750120.068691,0.28049756,-0.09048481,-0.18555524,NASDAQ,,104.37,0.525
2181,NRDS,"NerdWallet, Inc.",17.66,-0.56306306,-0.1,39962,705728.92,1339366120.3828828,0.27969547,-0.36671368,-0.45095829,NASDAQ,,17.61,0.05
2182,MOD,Modine Manufacturing Company,21.46,-3.68043088,-0.82,30249,649143.54,1118499223.268402,0.27939065,-0.14006449,-0.14006449,NYSE,,22.0,-0.54
2183,PCOR,"Procore Technologies, Inc.",59.61,-1.22618061,-0.74,71595,4267777.95,8360473288.823364,0.27803413,0.06714789,-0.26769282,NYSE,,60.2,-0.59
2184,YMM,Full Truck Alliance Co. Ltd.,7.04,-0.98452883,-0.07,553143,3894126.72,7880729260.0,0.27652522,-0.21261517,-0.42432815,NYSE,-0.21,7.02,0.02
2185,RDN,Radian Group Inc.,20.72,0.77821012,0.16,162182,3360411.04,3257037153.046693,0.27516366,-0.07234145,-0.28873917,NYSE,,20.28,0.44
2186,HTLF,"Heartland Financial USA, Inc.",37.9669,0.41496958,0.1569,14874,564719.6706,1612381497.3752844,0.27387169,-0.2970063,-0.13966334,NASDAQ,,37.33,0.6369
2187,ESPR,"Esperion Therapeutics, Inc.",1.6216,3.94871795,0.0616,1016316,1648058.0256,143962114.7830769,0.2729216,-0.21538462,0.85209603,NASDAQ,-0.0215,1.54,0.0816
2188,ZI,ZoomInfo Technologies Inc.,22.905,-1.86375321,-0.435,351092,8041762.26,9260293462.035349,0.27285479,-0.08729812,-0.43497173,NASDAQ,-0.16,23.22,-0.315
2189,CIFR,Cipher Mining Inc.,2.17,-7.26495726,-0.17,279563,606651.71,539519739.6196581,0.27259395,-1.81371881,-1.36986301,NASDAQ,-0.0899,2.27,-0.1
2190,TGNA,TEGNA Inc,15.65,-0.06385696,-0.01,107853,1687899.45,3498596676.9667945,0.27117584,-0.03193868,0.06393862,NYSE,,15.61,0.04
2191,TOWN,Towne Bank,26.71,1.05940219,0.28,22101,590317.71,1942465372.8702235,0.27026167,-0.54734334,-0.54734334,NASDAQ,,26.01,0.7
2192,ARQT,"Arcutis Biotherapeutics, Inc.",10.35,-4.16666667,-0.45,95060,983871.0,632207720.7916666,0.26920788,0.0967118,-0.67178503,NASDAQ,-0.05,10.69,-0.34
2193,SBR,Sabine Royalty Trust,66.63,-1.60956881,-1.09,9022,601135.86,987313244.0,0.26673355,-0.074985,-0.074985,NYSE,-1.52,66.47,0.16
2194,KRTX,"Karuna Therapeutics, Inc.",175.97,-0.14186812,-0.25,62738,11040005.86,6511274684.480024,0.26496602,0.05401564,0.0312651,NASDAQ,,176.03,-0.06
2195,EDU,"New Oriental Education & Technology Group, Inc. Sponsored",37.86,-2.42268041,-0.94,200240,7581086.4,6579547713.14112,0.26392441,-0.18455049,-0.64296024,NYSE,-0.3882,38.7,-0.84
2196,SMX,SMX (Security Matters) Public Limited Company,1.2302,-4.63565891,-0.0598,569838,701014.7076,27681106.88914729,0.2631753,-0.79032258,0.0,NASDAQ,-0.09,1.15,0.0802
2197,HLNE,Hamilton Lane Incorporated,70.12,-1.47534073,-1.05,14179,994231.48,3774024662.333005,0.26272785,-0.29859235,-0.29859235,NASDAQ,,70.43,-0.31
2198,SR,Spire Inc.,67.375,0.83058964,0.555,10781,726369.875,3540296597.115385,0.26248093,0.02553528,0.08169935,NYSE,,66.82,0.555
2199,BANR,Banner Corporation,53.5,1.00056636,0.53,17441,933093.5,1829384769.1523504,0.26186912,0.20603109,-0.26099925,NASDAQ,,52.52,0.98
2200,LPSN,"LivePerson, Inc.",3.6699,-4.4296875,-0.1701,365491,1341315.4209,278438564.3020313,0.26076656,-0.13877551,-0.27445652,NASDAQ,0.01,3.77,-0.1001
2201,RPD,"Rapid7, Inc.",39.86,-1.55593974,-0.63,54409,2168742.74,2393221449.474438,0.26048886,-0.30015008,-0.5489022,NASDAQ,,40.0,-0.14
2202,GTY,Getty Realty Corporation,34.38,1.50575731,0.51,17450,599931.0,1583010419.0,0.25906253,0.0,-0.15972121,NYSE,,33.92,0.46
2203,FHB,"First Hawaiian, Inc.",20.655,0.55988315,0.115,78133,1613837.115,2637343669.646787,0.25879945,-0.16916385,-0.64935065,NASDAQ,,20.21,0.445
2204,ACLX,"Arcellx, Inc.",28.09,-0.70696359,-0.2,29228,821014.52,1231855902.0604453,0.25739965,0.44698731,0.07125045,NASDAQ,,27.99,0.1
2205,WST,"West Pharmaceutical Services, Inc.",333.12,0.38270303,1.27,34207,11395035.84,24696035354.07636,0.25525822,0.11119459,-0.00600348,NYSE,,330.84,2.28
2206,AZPN,"Aspen Technology, Inc.",201.7203,-1.47489499,-3.0197,10202,2057950.5006,13065680518.456083,0.25365696,-0.25697191,-0.25697191,NASDAQ,,204.38,-2.6597
2207,YY,JOYY Inc.,30.3,0.56422171,0.17,42808,1297082.4,2098082279.0000005,0.25350023,0.14873575,-0.09891197,NASDAQ,0.35,30.1,0.2
2208,ASO,"Academy Sports and Outdoors, Inc.",63.47,-0.78161638,-0.5,131845,8368202.15,4884306941.974363,0.25284072,0.03152088,-0.34542314,NASDAQ,,63.45,0.02
2209,LU,Lufax Holding Ltd,1.97,0.0,0.0,1116236,2198984.92,4515216303.0,0.24987335,-0.25380711,-0.25380711,NYSE,-0.03,1.94,0.03
2210,BAND,Bandwidth Inc.,14.77,-0.27008778,-0.04,42182,623028.14,375783526.95273465,0.24940898,0.169549,-0.2027027,NASDAQ,,14.75,0.02
2211,AGCO,AGCO Corporation,123.435,-1.73937271,-2.185,49164,6068558.34,9238603110.34485,0.24848978,-0.06881477,-0.35117462,NYSE,,123.7,-0.265
2212,PCVX,"Vaxcyte, Inc.",37.435,-1.17476241,-0.445,42088,1575564.28,2996062750.3441133,0.24808952,-0.0400534,-0.41234371,NASDAQ,,37.66,-0.225
2213,ACAD,ACADIA Pharmaceuticals Inc.,18.09,-1.25545852,-0.23,117420,2124127.8,2934744161.9836245,0.24669707,-0.05534034,-0.1934236,NASDAQ,,18.21,-0.12
2214,EXEL,"Exelixis, Inc.",18.12,-1.14566285,-0.21,175470,3179516.4,5872462599.61375,0.24541607,-0.02759382,-0.13781698,NASDAQ,,18.27,-0.15
2215,TPX,"Tempur Sealy International, Inc.",36.99,-1.90930788,-0.72,102396,3787628.04,6365953672.002387,0.24503627,0.0,-0.36353844,NYSE,-0.51,37.32,-0.33
2216,STGW,Stagwell Inc.,6.8,-1.1627907,-0.08,83388,567038.4,1989128318.3720927,0.24468149,0.0,0.0,NASDAQ,-0.03,6.8,0.0
2217,UHS,"Universal Health Services, Inc.",121.56,-0.19704433,-0.24,40649,4941292.44,7710915577.806896,0.24332895,-0.01233198,-0.17237134,NYSE,,121.41,0.15
2218,FIBK,"First Interstate BancSystem, Inc.",29.54,1.65175499,0.48,63669,1880782.26,3085191646.2222986,0.24052237,0.0,-0.43815302,NASDAQ,,28.75,0.79
2219,FCN,"FTI Consulting, Inc.",194.425,0.44170068,0.855,9816,1908475.8,6595929042.89146,0.23712769,-0.06425084,-0.06425084,NYSE,,193.27,1.155
2220,HLIT,Harmonic Inc.,13.9101,-0.5,-0.0699,83869,1166626.1769,1545004197.8099997,0.23671047,-0.1070018,-0.46440072,NASDAQ,-0.06,13.89,0.0201
2221,UBT,ProShares Ultra 20+ Year Treasury,27.2865,0.68819188,0.1865,28891,788334.2715,,0.23633422,-0.01282521,-0.08604907,NYSE ARCA,0.31,27.5,-0.2135
2222,EBC,"Eastern Bankshares, Inc.",11.92,0.0,0.0,154312,1839399.04,2099971128.0000005,0.23430844,0.0,-0.58381985,NASDAQ,0.27,11.73,0.19
2223,TGTX,"TG Therapeutics, Inc.",14.44,-3.15224681,-0.47,219008,3162475.52,2113483556.2334003,0.23280302,-0.2073255,-0.68775791,NASDAQ,-0.21,14.81,-0.37
2224,FHI,"Federated Hermes, Inc.",39.07,-0.40785113,-0.16,61979,2421519.53,3488362562.776192,0.23152542,-0.03837789,-0.22982635,NYSE,,38.74,0.33
2225,AGM,Federal Agricultural Mortgage Corporation,124.14,-0.40115533,-0.5,8441,1047865.74,1322434416.8164313,0.23136472,-0.16887817,-0.24909602,NYSE,,122.88,1.26
2226,HUBC,Hub Cyber Security Ltd.,1.9999,2.55897436,0.0499,1470236,2940324.9764,206256400.5104615,0.2310675,0.49748744,0.75062972,NASDAQ,-0.07,1.83,0.1699
2227,PNFP,"Pinnacle Financial Partners, Inc.",52.815,0.58084174,0.305,79352,4190975.88,4047878440.235193,0.23055532,0.12322275,-0.40543089,NASDAQ,,52.04,0.775
2228,BLKB,"Blackbaud, Inc.",57.57,0.893796,0.51,11147,641732.79,3063638802.030494,0.23018966,0.24377503,0.24377503,NASDAQ,,56.66,0.91
2229,OGS,"ONE Gas, Inc.",75.32,0.69518717,0.52,23611,1778380.52,4171900507.090909,0.22886798,-0.15906681,-0.33081911,NYSE,,74.86,0.46
2230,AESI,Atlas Energy Solutions Inc.,15.98,-0.125,-0.02,35572,568440.56,1598000000.0,0.22770496,0.47154983,0.47154983,NYSE,,15.99,-0.01
2231,EWBC,"East West Bancorp, Inc.",54.1399,0.95077382,0.5099,277144,15004548.4456,7633925970.300603,0.22426565,0.11298328,-0.4048933,NASDAQ,-0.73,52.72,1.4199
2232,TW,Tradeweb Markets Inc.,73.66,-0.45945946,-0.34,39095,2879737.7,17273355748.203243,0.22097712,-0.05438477,-0.23072747,NASDAQ,,73.69,-0.03
2233,ITGR,Integer Holdings Corporation,75.485,-0.00662339,-0.005,16035,1210401.975,2508827744.451252,0.22068333,-0.03972721,-0.08603574,NYSE,,75.15,0.335
2234,ZUMZ,Zumiez Inc.,17.36,-0.74328188,-0.13,36465,633032.4,338339140.36363643,0.22018765,-0.05757052,-0.51575931,NASDAQ,-0.15,17.32,0.04
2235,JKS,JinkoSolar Holding Company Limited,46.825,-1.93717277,-0.925,107324,5025446.3,2401695944.0,0.21858418,0.03204443,-0.77346896,NYSE,-1.75,46.0,0.825
2236,CERT,"Certara, Inc.",23.2691,-0.47433704,-0.1109,100842,2346502.5822,3710452717.9548383,0.21621554,-0.02534909,-0.43175011,NASDAQ,,23.18,0.0891
2237,SMAR,Smartsheet Inc.,47.38,-0.65003145,-0.31,134548,6374884.24,6279060780.053681,0.21541973,0.0,-0.42034468,NYSE,0.38,48.04,-0.66
2238,EPAC,Enerpac Tool Group Corp.,26.11,-1.09848485,-0.29,33558,876199.38,1487571172.7731063,0.21217624,-0.03828484,-0.38153377,NYSE,,26.19,-0.08
2239,SKT,"Tanger Factory Outlet Centers, Inc.",18.43,-0.10840108,-0.02,57655,1062581.65,1927986792.0,0.20919793,0.02713704,-0.16251354,NYSE,,18.26,0.17
2240,HE,"Hawaiian Electric Industries, Inc.",36.55,1.19047619,0.43,29916,1093429.8,4001212639.880952,0.20889065,-0.16388965,-0.16388965,NYSE,,36.02,0.53
2241,CERE,"Cerevel Therapeutics Holdings, Inc.",23.245,-0.789586,-0.185,33652,782240.74,3641484510.329492,0.20757093,0.02151463,0.0861141,NASDAQ,,23.2,0.045
2242,CRVL,CorVel Corp.,183.09,-0.23974282,-0.44,5511,1009008.99,3141638567.59053,0.20653057,0.35903198,0.35903198,NASDAQ,,182.08,1.01
2243,OTLY,Oatly Group AB,2.375,-1.04166667,-0.025,399569,948976.375,1420264859.0,0.20427701,0.0,-0.24361559,NASDAQ,0.0185,2.41,-0.035
2244,AMAM,Ambrx Biopharma Inc.,8.75,0.92272203,0.08,66407,581061.25,334821138.0,0.20184747,0.0,0.22909507,NASDAQ,-0.16,8.47,0.28
2245,ZIP,"ZipRecruiter, Inc.",15.12,0.46511628,0.07,59917,905945.04,1587748512.5581396,0.19616625,0.03307972,-0.59171598,NYSE,,14.97,0.15
2246,TITN,Titan Machinery Inc.,27.8,-2.07819655,-0.59,38937,1082448.6,631250841.7611835,0.19532933,-0.2690583,-0.55446253,NASDAQ,-0.09,28.0,-0.2
2247,JKHY,"Jack Henry & Associates, Inc.",145.895,-0.53517862,-0.785,57292,8358616.34,10648982063.58522,0.19499011,-0.0684955,-0.19496511,NASDAQ,,145.58,0.315
2248,DSEY,"Diversey Holdings, Ltd.",8.025,-0.18656716,-0.015,198133,1590017.325,2604727440.5783587,0.19492645,0.0,0.0,NASDAQ,0.0,8.04,-0.015
2249,HKD,AMTD Digital Inc.,7.02,-0.42553191,-0.03,112778,791701.56,1191769767.0,0.19189694,-0.14224751,-0.28409091,NYSE,0.01,7.05,-0.03
2250,MCB,Metropolitan Bank Holding Corp.,35.06,2.18595162,0.75,41883,1468417.98,384295867.61702126,0.18498131,-1.12803158,-1.10014104,NYSE,-1.3,33.54,1.52
2251,USOI,Credit Suisse X-Links Crude Oil Shares Covered Call ETN,70.51,-1.08024691,-0.77,22664,1598038.64,,0.18271206,-0.47595388,-0.47595388,NASDAQ,-1.31,70.24,0.27
2252,DOCU,"DocuSign, Inc.",56.1416,-1.86750568,-1.0684,369070,20720180.312,11288623895.634497,0.17859802,-0.03276353,-0.59915014,NASDAQ,-0.96,56.99,-0.8484
2253,GOLF,Acushnet Holdings Corp.,49.4451,-1.36624776,-0.6849,14160,700142.616,3310142261.844398,0.17315255,0.10142727,-0.19156237,NYSE,,49.73,-0.2849
2254,PODD,Insulet Corporation,312.675,0.38042955,1.185,72092,22541366.1,21744125218.58712,0.17079653,-0.03038299,-0.57097416,NASDAQ,,311.61,1.065
2255,STAA,STAAR Surgical Company,62.955,-0.82703214,-0.525,30871,1943483.805,3036720896.885869,0.16741294,-0.03175863,-0.42704626,NASDAQ,,62.77,0.185
2256,QFIN,"360 DigiTech, Inc.",18.195,-0.79062159,-0.145,60314,1097413.23,3279214467.94496,0.16117067,0.13758943,-0.19199122,NASDAQ,-0.1,18.0,0.195
2257,TAL,TAL Education Group,6.015,-2.3538961,-0.145,703823,4233495.345,3990604049.0,0.16080877,-0.1659751,-0.66061107,NYSE,-0.14,6.05,-0.035
2258,VRNS,"Varonis Systems, Inc.",26.045,-0.51566081,-0.135,35026,912252.17,2802862656.595302,0.15383049,0.0,0.13456363,NASDAQ,,25.95,0.095
2259,EXPO,"Exponent, Inc.",92.59,0.79468757,0.73,20591,1906520.69,4688981858.10037,0.15314473,-0.18360514,-0.29667188,NASDAQ,,91.66,0.93
2260,BG,Bunge Limited Bunge Limited,92.66,-0.940774,-0.88,142298,13185332.68,13892178167.530466,0.1463948,-0.1401013,-0.34416003,NYSE,,92.99,-0.33
2261,CASH,"Pathward Financial, Inc.",41.81,0.40826129,0.17,18301,765164.81,1152341456.2442365,0.1435719,-0.08626849,0.40826129,NASDAQ,,41.02,0.79
2262,JBSS,"John B. Sanfilippo & Son, Inc.",96.95,0.64362089,0.62,10631,1030675.45,1120339826.078065,0.1396091,-0.23154103,-0.23154103,NASDAQ,,96.28,0.67
2263,QTWO,"Q2 Holdings, Inc.",22.54,-1.01010101,-0.23,65638,1479480.52,1301441521.4747474,0.13265434,0.155521,-0.30959752,NYSE,,22.58,-0.04
2264,LUNR,"Intuitive Machines, Inc.",10.74,1.32075472,0.14,112305,1206155.7,194074651.1660377,0.12827402,0.37383178,0.23331778,NASDAQ,0.28,10.71,0.03
2265,PCT,"PureCycle Technologies, Inc.",6.155,4.14551607,0.245,183231,1127786.805,1007395762.1379018,0.12395409,-0.162206,-0.32388664,NASDAQ,0.07,5.86,0.295
2266,YS,"YS Biopharma Co., Ltd.",5.5,-15.38461538,-1.0,137019,753604.5,624034400.8461537,,0.53925601,0.78059149,NASDAQ,-0.7643,6.09,-0.59
2267,NIR,"Near Intelligence, Inc.",11.585,11.14309013,1.1615,1026374,11890542.79,,,-4.08163265,-10.30534351,NASDAQ,6.6565,17.38,-5.795
2268,TPL,Texas Pacific Land Corporation,1611.08,-1.75502787,-28.78,17062,27488246.96,12412559154.780651,,0.89934365,0.89934365,NYSE,,1609.84,1.24
2269,EVI,"EVI Industries, Inc.",19.0,0.74231177,0.14,44684,848996.0,238760132.18451756,,2.23298359,2.23298359,NYSE ARCA,,18.67,0.33
2270,WTM,"White Mountains Insurance Group, Ltd.",1357.0,2.02930805,26.99,2772,3761604.0,3484134239.733536,,1.4200299,1.4200299,NYSE,,1338.8,18.2
2271,RYF,Invesco S&P 500 Equal Weight Financial ETF,47.834,-0.82106573,-0.396,39184,1874327.456,,,0.113018,0.113018,NYSE ARCA,-0.55,47.87,-0.036
2272,DUO,Fangdd Network Group Ltd.,1.47,9.70149254,0.13,1564434,2299717.98,8842377.0,,-2.0,-4.54545455,NASDAQ,0.08,1.34,0.13
2273,CCF,Chase Corporation,98.99,-0.76190476,-0.76,5836,577705.64,940406698.9561903,,0.0,-0.03534461,NYSE ARCA,,98.17,0.82
2274,COKE,"Coca-Cola Consolidated, Inc.",511.42,-0.67778835,-3.49,4084,2088639.28,4793891678.775748,,-0.63147259,-0.63147259,NASDAQ,,515.45,-4.03
2275,SLX,VanEck Steel ETF,59.72,-0.92899801,-0.56,28181,1682969.32,,,0.54938487,0.54938487,NYSE ARCA,,59.37,0.35
2276,SMTI,Sanara MedTech Inc.,38.86,-2.60651629,-1.04,21893,850761.98,325523734.0,,-0.35897436,-0.35897436,NASDAQ,,39.41,-0.55
2277,ESGR,Enstar Group Limited,218.8,-0.5635339,-1.24,4992,1092249.6,3850311660.934376,,-0.07535451,-0.07535451,NASDAQ,,219.5,-0.7
2278,GFEB,First Trust Exchange-Traded Fund VIII FT Cboe Vest U.S. Equity Moderate Buffer ETF - February,28.92,0.03839648,0.0111,67896,1963552.32,,,-0.0691085,-0.0691085,NYSE ARCA,,29.06,-0.14
2279,TSL,GraniteShares 1.25x Long Tesla Daily ETF,13.5673,-1.18499636,-0.1627,55487,752808.7751,,,-0.24044118,-0.24044118,NASDAQ,-0.19,13.67,-0.1027
2280,ZURA,Zura Bio Limited,28.5,-14.18247516,-4.71,309395,8817757.5,762166293.495935,,-0.85232214,2.81385281,NASDAQ,-0.72,32.2,-3.7
2281,DHHC,DiamondHead Holdings Corp.,15.0001,-20.71828753,-3.9199,256689,3850360.6689,646879314.8784511,,-2.47009103,0.67181208,NASDAQ,-2.75,15.9,-0.8999
2282,VTRU,Vitru Limited,22.8,-2.9787234,-0.7,48661,1109470.8,659119273.0,,0.17582418,0.17582418,NASDAQ,,23.55,-0.75
2283,GHRS,GH Research PLC,8.5938,24.36758321,1.6838,129044,1108978.3272,447056747.7725904,,0.0,0.0,NASDAQ,0.72,7.82,0.7738
2284,ALVO,Alvotech,13.3,-2.20588235,-0.3,45556,605894.8,3491260650.7573533,,0.68130204,0.68130204,NASDAQ,,13.5,-0.2
2285,MRBK,Meridian Corporation,13.44,-0.14858841,-0.02,46595,626236.8,306112212.0,,-0.29985007,-0.07513148,NASDAQ,,13.45,-0.01
2286,MLAB,"Mesa Laboratories, Inc.",169.21,-0.16520149,-0.28,10696,1809870.16,904626092.2969496,,0.14796402,0.14796402,NASDAQ,-2.59,167.01,2.2
2287,VACC,Vaccitech plc,2.8099,30.08194065,0.6498,449720,1263668.228,80564201.0,,0.35587189,-3.4279648,NASDAQ,0.1099,2.25,0.5599
